Nodes;Mixed OLD;Lin Yen ;Eades;Huang et al.;Crossing Only OLD;Angular Only OLD;Mixed;Crossing Only;Angular Only;sd cr;cr_up;cr_down;sd ar;ar_up;ar_down;sd tr;tr_up;tr_down;a;b
45;19.3786982248521;19.5384615384615;17.7368421052632;17.1235294117647;46.6666666666667;19.5714285714286;22.013986013986;55.1971830985916;22.2253521126761;71.3677161887264;126.564899287318;0;13.8381702384707;36.0635223511468;8.38718187420535;13.8223729059415;35.8363589199275;8.19161310804449;Nodes;=45
46;21.4657534246575;21.6666666666667;18.75;18.2162162162162;38.8378378378378;21.7260273972603;23.8582677165354;43.9140625;24.1732283464567;44.4570087552079;88.3710712552079;0;14.4524916774077;38.6257200238644;9.72073666904898;15.0893318823531;38.9475995988886;8.7689358341823;Nodes;=46
47;21.6031746031746;22.3548387096774;19.6190476190476;18.8095238095238;52.9365079365079;22.3730158730159;24.4403669724771;61.0833333333333;25.302752293578;81.37178148738;142.455114820713;0;18.0254473346433;43.3281996282213;7.27730495893468;16.1806128205026;40.6209797929797;8.25975415197444;Nodes;=47
48;20.0833333333333;20.6041666666667;18.0104166666667;17.6458333333333;50.6770833333333;20.59375;23.4556962025316;61.3974358974359;23.9367088607595;64.729274322975;126.126710220411;0;14.8594628161109;38.7961716768704;9.07724604464861;15.150207208745;38.6059034112766;8.30548899378665;Nodes;=48
49;19.2989690721649;20.2680412371134;17.7216494845361;17.2886597938144;39.6494845360825;20.1649484536082;21.4470588235294;45.3975903614458;22.3764705882353;60.1518281779301;105.549418539376;0;15.2377792334181;37.6142498216534;7.13869135481724;13.6304783348871;35.0775371584165;7.8165804886423;Nodes;=49
50;21;21.7931034482759;18.864406779661;18.271186440678;43.1016949152542;21.5862068965517;24.0816326530612;52.936170212766;24.734693877551;62.3372330136371;115.273403226403;0;15.5225313525802;40.2572252301313;9.21216252497077;15.363606478962;39.4452391320233;8.71802617409919;Nodes;=50
51;22.575;22.775;19.825;19.3125;50.075;23.25;24.9714285714286;55.9571428571429;25.7571428571429;72.7585715283695;128.715714385512;0;13.9101002968761;39.6672431540189;11.8470425602668;14.6623031929037;39.6337317643323;10.3091253785248;Nodes;=51
52;27.3863636363636;25.9886363636364;22.3483146067416;21.6741573033708;44.123595505618;26.0568181818182;28.5;46.4166666666667;27;54.6566960003135;101.07336266698;0;19.5823869719213;46.5823869719213;7.41761302807872;25.611154511877;54.111154511877;2.88884548812304;Nodes;=52
53;28.4473684210526;28.4553571428571;24.5217391304348;24.1842105263158;55.1826086956522;28.1592920353982;29.5740740740741;60.2019230769231;29.2523364485981;79.0205061019947;139.222429178918;0;20.1541668794003;49.4065033279984;9.09816956919784;22.3301055403995;51.9041796144735;7.24396853367462;Nodes;=53
54;28.1028037383178;27.9532710280374;24.8148148148148;23.9537037037037;61.8518518518519;28.4622641509434;28.9029126213592;65.0686274509804;29.1764705882353;79.4410248660025;144.509652316983;0;18.1312114053055;47.3076819935408;11.0452591829298;16.3950765414052;45.2979891627644;12.507836079954;Nodes;=54
55;28.3888888888889;28.0238095238095;24.8346456692913;24.0079365079365;59.9133858267717;28.76;30.7304347826087;65.6869565217391;31.1315789473684;76.2031409328015;141.890097454541;0;17.1766012678056;48.308180215174;13.9549776795628;16.6334394059469;47.3638741885556;14.0969953766618;Nodes;=55
56;30.3941605839416;30.3503649635036;25.9416058394161;25.1240875912409;55.3576642335766;30.2627737226277;32.5555555555556;61.0487804878049;32.3095238095238;67.3098845027927;128.358664990598;0;19.3966860203342;51.706209829858;12.9128377891896;20.6462704608663;53.2018260164219;11.9092850946892;Nodes;=56
57;32.6132075471698;31.5566037735849;27.9622641509434;26.9905660377358;70.1132075471698;32.7924528301887;32.9142857142857;70.7714285714286;33.0952380952381;76.4419409072685;147.213369478697;0;17.211089788901;50.3063278841391;15.8841483063371;19.8261499988329;52.7404357131187;13.0881357154528;Nodes;=57
58;29.8347826086956;29.8333333333333;26.3826086956522;25.7304347826087;57.9826086956522;30.5739130434783;31.9716981132075;63;32.7358490566038;67.7009828357246;130.700982835725;0;19.6751241960344;52.4109732526382;13.0607248605693;19.0364067225847;51.0081048357923;12.9352913906228;Nodes;=58
59;34.8703703703704;34.5925925925926;29.6605504587156;29.0366972477064;69;35.2314814814815;35.1214953271028;70.9056603773585;35.4859813084112;78.494346572511;149.400006949869;0;20.0251561066072;55.5111374150184;15.460825201804;20.5325744219419;55.6540697490447;14.5889209051609;Nodes;=59
60;33.9160305343511;34.2519083969466;29.2748091603053;28.381679389313;63.4351145038168;33.6946564885496;35.0476190476191;67.3170731707317;34.7936507936508;76.9751202165158;144.292193387248;0;19.5984968649404;54.3921476585912;15.1951539287104;21.3079951332902;56.3556141809093;13.7396239143288;Nodes;=60
61;39.472049689441;38.874213836478;33.7204968944099;33.00625;77.8385093167702;39.1552795031056;39.8805031446541;79.6687898089172;39.559748427673;91.3844645759537;171.053254384871;0;22.1232426020113;61.6829910296843;17.4365058256616;22.6471135235413;62.5276166681954;17.2333896211128;Nodes;=61
